x,y,velocity
-13.993784939482104,-9.902041142708315,5.0
-13.846153319137485,-9.902041142708315,5.0
-13.692307692307693,-9.902041142708315,5.0
-13.53846153846154,-9.902041142708315,5.0
-13.384615384615387,-9.902041142708315,5.0
-13.230769230769226,-9.902041142708315,5.0
-13.07692307692308,-9.902041142708315,5.0
-12.92307692307692,-9.902041142708315,5.0
-12.769230769230774,-9.902041142708315,5.0
-12.615384615384613,-9.902041142708315,5.0
-12.46153846153846,-9.902041142708315,5.0
-12.307692307692307,-9.902041142708315,5.0
-12.153846680862515,-9.902041142708315,5.0
-12.006214043253749,-9.902041163356616,5.0
-11.994219565619588,-9.902284638538154,5.0
-11.856886808499986,-9.90821920463288,5.0078368036308385
-11.71377459749553,-9.9179533613411,5.015685890359905
-11.570661896243294,-9.930993392484341,5.023547279439248
-11.427549194991059,-9.946797726673028,5.031420990151088
-11.284436493738816,-9.964717754100564,5.039307041807867
-11.141323792486581,-9.98402501562427,5.047205453752295
-10.998211091234346,-10.003941218267347,5.055116245357406
-10.85509838998211,-10.023669822573298,5.063039436026592
-10.711985688729875,-10.042427916525837,5.0709750451936575
-10.568872987477633,-10.059477105108181,5.078923092322869
-10.425760286225405,-10.074152209077084,5.0868835969090025
-10.282647584973162,-10.085886677301625,5.094856578477383
-10.139534883720927,-10.094233768476604,5.102842056583946
-9.996422182468692,-10.098882743132897,5.1108400508152725
-9.853309481216456,-10.099669517480125,5.118850580788645
-9.710196779964221,-10.096581457813693,5.126873666152093
-9.567084078711986,-10.089756228693892,5.134909326584443
-9.42397137745975,-10.079474840540037,5.142957581795364
-9.280858676207515,-10.066149263710841,5.151018451525416
-9.13774597495528,-10.050305178282345,5.159091955546101
-8.994633273703045,-10.032560604294916,5.167178113659911
-8.85152057245081,-10.013601300163401,5.175276945700374
-8.708407871198574,-9.994153922603708,5.183388471532106
-8.565295169946332,-9.974958006760202,5.191512711050856
-8.422182468694096,-9.956737848784812,5.199649684183557
-8.279069767441861,-9.940175355117443,5.207799410888375
-8.135957066189626,-9.925884864913666,5.215961911154761
-7.99284436493739,-9.91439085768201,5.224137205003491
-7.849731663685155,-9.906109331735465,5.232325312486724
-7.706618962432913,-9.901333486111067,5.240526253688048
-7.563506261180677,-9.900224165579399,5.24874004872253
-7.420393559928442,-9.902805342227001,5.25696671773676
-7.277280858676207,-9.908964715109228,5.265206280908911
-7.1341681574239715,-9.918459318904373,5.273458758448779
-6.991055456171736,-9.93092585035341,5.281724170597837
-6.847942754919501,-9.945895254030239,5.290002537629282
-6.704830053667266,-9.962810962404516,5.298293879848089
-6.56171735241503,-9.98105006405708,5.306598217591057
-6.418604651162788,-9.999946582039428,5.31491557122686
-6.275491949910553,-10.018815984311182,5.323245961156098
-6.132379248658317,-10.036980021289189,5.331589407811346
-5.989266547406082,-10.053790991905911,5.3399459316571996
-5.846153846153847,-10.068654578104567,5.3483155531903375
-5.703041144901611,-10.081050456170148,5.356698292939559
-5.559928443649376,-10.090549988475576,5.365094171465843
-5.416815742397134,-10.096830417015235,5.373503209362388
-5.273703041144898,-10.099685115721629,5.381925427254679
-5.130590339892663,-10.099029606737867,5.390360845800521
-4.987477638640428,-10.094903200980463,5.3988094856901
-4.8443649373881925,-10.087466279820303,5.407271367646032
-4.701252236135957,-10.076993386999508,5.415746512423412
-4.558139534883722,-10.063862442761312,5.424234940809862
-4.415026833631487,-10.048540520855287,5.432736673625595
-4.271914132379251,-10.031566739479715,5.441251731723446
-4.128801431127016,-10.013532905981686,5.449780135988941
-3.9856887298747807,-9.995062619746903,5.458321907340338
-3.8425760286225383,-9.976789576576364,5.466877066728683
-3.699463327370303,-9.959335830301857,5.475445635137861
-3.5563506261180677,-9.943290753699337,5.484027633584641
-3.4132379248658324,-9.929191402069277,5.4926230831187395
-3.270125223613597,-9.917504921137857,5.501232004822862
-3.127012522361362,-9.908613558889911,5.509854419812757
-2.983899821109123,-9.902802741883743,5.518490349237273
-2.8407871198568877,-9.900252564307863,5.527139814278402
-2.6976744186046524,-9.901032916645933,5.5358028361513405
-2.5545617173524136,-9.905102354629378,5.54447943610453
-2.4114490161001783,-9.912310682523694,5.553169635419725
-2.268336314847943,-9.922405101949016,5.561873455412029
-2.1252236135957077,-9.935039662362847,5.570590917429954
-1.9821109123434724,-9.949787645644077,5.579322042855482
-1.8389982110912335,-9.966156428040328,5.588066853104094
-1.6958855098389982,-9.983604290634375,5.596825369624849
-1.552772808586763,-10.001558596370906,5.605597613900417
-1.4096601073345276,-10.01943471880526,5.614383607447143
-1.2665474060822888,-10.036655095635401,5.623183371815096
-1.1234347048300535,-10.052667788608103,5.6319969285881175
-0.9803220035778182,-10.066963959734654,5.640824299383882
-0.8372093023255829,-10.079093720476642,5.6496655058539496
-0.694096601073344,-10.088679873682072,5.658520569683808
-0.5509838998211087,-10.095429145110163,5.667389512592943
-0.40787119856887344,-10.099140589547124,5.676272356334875
-0.26475849731663814,-10.099710952679375,5.685169122697224
-0.12164579606440284,-10.097136870785196,5.694079833501761
0.021466905187836005,-10.091513892604384,5.703004510604456
0.1645796064400713,-10.08303240817547,5.7119431758955335
0.3076923076923066,-10.071970664872339,5.720895851299533
0.4508050089445419,-10.058685138455749,5.7298625587753556
0.5939177101967807,-10.043598604140557,5.7388433203163185
0.737030411449016,-10.027186317325476,5.74783815795021
0.8801431127012513,-10.009960764053005,5.756847093739351
1.0232558139534902,-9.992455476267963,5.76587014978063
1.1663685152057255,-9.975208425843503,5.774907348205578
1.3094812164579608,-9.95874551398004,5.783958711180411
