x,y,velocity
-13.993784939482104,-9.810716654354136,2.837164077031852
-13.846153319137485,-9.810716654354136,2.837164077031852
-13.692307692307693,-9.810716654354136,2.837164077031852
-13.53846153846154,-9.810716654354136,2.837164077031852
-13.384615384615387,-9.810716654354136,2.837164077031852
-13.230769230769226,-9.810716654354136,2.837164077031852
-13.07692307692308,-9.810716654354136,2.837164077031852
-12.92307692307692,-9.810716654354136,2.837164077031852
-12.769230769230774,-9.810716654354136,2.837164077031852
-12.615384615384613,-9.810716654354136,2.837164077031852
-12.46153846153846,-9.810716654354136,2.837164077031852
-12.307692307692307,-9.810716654354136,2.837164077031852
-12.153846680862515,-9.810716654354136,2.837164077031852
-12.006214043253749,-9.810716760368715,2.837164077031852
-11.994219565619588,-9.811966827245032,2.837164077031852
-11.856886808499986,-9.842345129386116,2.840967888963828
-11.71377459749553,-9.889934630269867,2.844776800701392
-11.570661896243294,-9.949173690421754,2.8485908190819
-11.427549194991059,-10.013730708449742,2.8524099509518743
-11.284436493738816,-10.076752788562825,2.856234203167019
-11.141323792486581,-10.131594008841326,2.860063582592227
-10.998211091234346,-10.172513318558515,2.863898096101596
-10.85509838998211,-10.195269135372332,2.867737750578439
-10.711985688729875,-10.197549822363623,2.8715825529152994
-10.568872987477633,-10.179197422020536,2.8754325100139595
-10.425760286225405,-10.142204310385907,2.8792876287854563
-10.282647584973162,-10.090486398660893,2.883147916150093
-10.139534883720927,-10.029459626134031,2.8870133790374473
-9.996422182468692,-9.965466382467525,2.8908840243863922
-9.853309481216456,-9.905113186204469,2.894759859145101
-9.710196779964221,-9.854589032689407,2.898640890271063
-9.567084078711986,-9.819034624639961,2.9025271247310944
-9.42397137745975,-9.802026292565383,2.9064185695013545
-9.280858676207515,-9.805225615112478,2.910315231567354
-9.13774597495528,-9.828228007743382,2.914217117923968
-8.994633273703045,-9.86862277538708,2.918124235575452
-8.85152057245081,-9.92225549425776,2.9220365915354516
-8.708407871198574,-9.983663306066605,2.925954192827013
-8.565295169946332,-10.04663678965322,2.9298770464826016
-8.422182468694096,-10.104850147318004,2.933805159544111
-8.279069767441861,-10.152495591224849,2.937738539062874
-8.135957066189626,-10.184858489353385,2.941677192099678
-7.99284436493739,-10.198776818061432,2.9456211257247764
-7.849731663685155,-10.192940933438317,2.949570347017905
-7.706618962432913,-10.168006257148837,2.9535248630682864
-7.563506261180677,-10.126510441102099,2.9574846809746522
-7.420393559928442,-10.072606003207149,2.9614498078452476
-7.277280858676207,-10.011637390488985,2.96542025079785
-7.1341681574239715,-9.949606194376885,2.969396016959781
-6.991055456171736,-9.8925784406947,2.9733771134679143
-6.847942754919501,-9.846092609392823,2.9773635474686952
-6.704830053667266,-9.814625966992395,2.9813553261181482
-6.56171735241503,-9.801170151498138,2.985352456581894
-6.418604651162788,-9.806955503047789,2.9893549460351583
-6.275491949910553,-9.831348597132507,2.9933628016627876
-6.132379248658317,-9.871930340290042,2.997376030659261
-5.989266547406082,-9.924744520391915,3.0013946402287037
-5.846153846153847,-9.98469054824459,3.0054186375849
-5.703041144901611,-10.046020799994928,3.0094480299513036
-5.559928443649376,-10.102893678954189,3.013482824561056
-5.416815742397134,-10.149929054860923,3.017523028656993
-5.273703041144898,-10.182713423908377,3.0215686494916634
-5.130590339892663,-10.19820778459425,3.0256196943273372
-4.987477638640428,-10.195021198596093,3.029676170436024
-4.8443649373881925,-10.173526267327885,3.033738085099481
-4.701252236135957,-10.13580798542947,3.037805445609227
-4.558139534883722,-10.085453162312438,3.0418782592665603
-4.415026833631487,-10.027202352064755,3.0459565333825647
-4.271914132379251,-9.9664986487289,3.050040275278127
-4.128801431127016,-9.908976686848197,3.0541294922839506
-3.9856887298747807,-9.85993998055988,3.0582241917405653
-3.8425760286225383,-9.823874988863434,3.0623243809983434
-3.699463327370303,-9.804046087704448,3.0664300674175116
-3.5563506261180677,-9.80220744723435,3.070541258368165
-3.4132379248658324,-9.818456493614496,3.0746579612302796
-3.270125223613597,-9.851240283690602,3.078780183393725
-3.127012522361362,-9.897512000355219,3.0829079322582804
-2.983899821109123,-9.953021187638079,3.087041215233643
-2.8407871198568877,-10.012709508092273,3.0911800397394473
-2.6976744186046524,-10.071174752484556,3.0953244132052737
-2.5545617173524136,-10.12316031778171,3.0994743430706637
-2.4114490161001783,-10.164025811218826,3.103629836785134
-2.268336314847943,-10.190156887507516,3.107790901808187
-2.1252236135957077,-10.199278574471217,3.111957545609328
-1.9821109123434724,-10.190645558336097,3.116129775668075
-1.8389982110912335,-10.165094294732338,3.120307599473976
-1.6958855098389982,-10.124954324862623,3.1244910245266198
-1.552772808586763,-10.073828675222964,3.128680058335648
-1.4096601073345276,-10.016264600132649,3.1328747084207715
-1.2665474060822888,-9.957345211572903,3.137074982311784
-1.1234347048300535,-9.90223896142814,3.1412808875485743
-0.9803220035778182,-9.855746998454396,3.1454924316811383
-0.8372093023255829,-9.821887923978501,3.149709622269596
-0.694096601073344,-9.803555539150157,3.153932466884202
-0.5509838998211087,-9.802278230774983,3.158160973105362
-0.40787119856887344,-9.818099351718342,3.1623951485236432
-0.26475849731663814,-9.849587171222726,3.1666350007397908
-0.12164579606440284,-9.893971663114932,3.170880537364739
0.021466905187836005,-9.947394550053849,3.175131766019627
0.1645796064400713,-10.005249550177965,3.1793886943358127
0.3076923076923066,-10.062582458362035,3.1836513299548836
0.4508050089445419,-10.114516113761121,3.1879196805286734
0.5939177101967807,-10.156663787256612,3.192193753719273
0.737030411449016,-10.18549612738212,3.1964735571990492
