x,y,velocity,yaw,curvature
-0.050000000000000044,-0.5449999999999999,9.5,-0.018098295349471917,0.021265273811217716
1.364858950494055,-0.5552028266691109,8.75,0.0008620946765160953,0.008672643607250282
2.9500000000000006,-0.5449999999999999,8.0,0.01101300368483654,0.004800445475688774
4.535141049505946,-0.522297173330889,5.975,0.01721757824654973,0.0032205941305178494
5.950000000000001,-0.4950000000000001,3.95,0.021175181182875643,0.002405954402403157
7.069576851482167,-0.45092098000733316,3.925,0.08117066259512985,0.1319516855350123
7.950000000000001,-0.2975000000000003,3.9,0.299803662465022,0.3653799711644975
8.669051544565392,0.048168593360220655,3.9,0.5990514584691019,0.38592500475444863
9.209999999999999,0.5499999999999998,3.9,0.9047831452799621,0.4519538135268732
9.551716970256267,1.159809106566449,3.925,1.2030397510667106,0.35230433632971425
9.75,1.9,3.95,1.3877343368760018,0.14176852698938247
9.871580574409535,2.7816574803739824,4.725,1.4673035883099144,0.05433845476995666
9.95,3.7,5.5,1.497780671945486,0.013484258526815656
10.006960732105592,4.544810971937621,5.75,1.5091114196839313,0.013069180610263718
10.049999999999999,5.3,6.0,1.5183648475328264,0.010999570893509723
10.0630764971681,5.989098631875532,4.965,1.6156324224043288,0.267784826119436
9.95,6.7,3.93,1.8475834251195355,0.321436276658712
9.621983279222006,7.48379450056025,3.93,2.0800607357536465,0.2687493128899808
9.1,8.18,3.93,2.374385559451804,0.45299279908218487
8.405240385943875,8.626973365883469,3.93,2.7541603788709774,0.3791912499240776
7.450000000000001,8.870000000000001,3.93,2.988507279250867,0.12600771326380752
6.200805177002495,8.996749535905876,4.465,3.0754480841951226,0.038134749186685635
4.950000000000001,9.057500000000001,5.0,3.104879871265154,0.008956173459422307
3.947788906046153,9.08946599049304,7.25,3.1142811507520327,0.007154269778359648
2.9500000000000006,9.115,9.5,3.11608289912893,-0.0023444845558855364
1.6455391988129007,9.14569900212197,9.5,3.1222462207359145,0.00847628323604164
-0.050000000000000044,9.165000000000001,9.5,3.138575106368435,0.010042092344867548
-2.079945701297754,9.158050501019083,9.5,3.1487166694196547,0.0015089994142674249
-4.05,9.145,9.5,3.14522505800424,-0.006574144639840703
-5.625756393621884,9.145848993801696,8.75,3.13874844746846,0.0006148815151389395
-7.049999999999999,9.145,8.0,3.148268390155971,0.011278114569578106
-8.592028724214703,9.124803523774126,5.975,3.159465704312094,0.0046025078320762365
-10.05,9.094999999999999,3.95,3.1637959249680314,0.001156159066822083
-11.181128709519303,9.050249411101795,3.925,3.222920834526604,0.13435546605639545
-12.05,8.897499999999999,3.9,3.444243940337744,0.36807447112835634
-12.765956437708091,8.552011331818692,3.775,3.739450699093225,0.37893418909352095
-13.31,8.049999999999999,3.65,4.043616528289238,0.4561024923359072
-13.65254553964834,7.440142761623433,3.65,4.345243072257475,0.35536536709422234
-13.850000000000001,6.699999999999998,3.65,4.5301431697638685,0.13993159037012595
-13.971361403698554,5.81835512168757,4.075,4.6087575660590065,0.05383712433663145
-14.05,4.899999999999999,4.5,4.639175461507708,0.013883838098754488
-14.10700884555745,4.055186751626276,4.75,4.650754978077506,0.013226056122572273
-14.15,3.299999999999999,5.0,4.659977515963959,0.010710701220840026
-14.163103214071656,2.610897871807317,4.465,4.75717538964307,0.2679014946151698
-14.05,1.8999999999999986,3.93,4.989328823561551,0.3217835957659608
-13.72182829815593,1.1162217611444474,3.93,5.221751497394633,0.26836128785958285
-13.2,0.41999999999999815,3.93,5.5155200090153595,0.45231268267191255
-12.50583359330462,-0.027034916385116403,3.93,5.895565836569294,0.3802405746831896
-11.55,-0.2700000000000031,3.93,6.130519476793597,0.12612755887717703
-10.29858732862559,-0.39651959560399636,4.465,6.217205685447519,0.03762797195259576
-9.05,-0.45750000000000135,5.0,6.24559656530055,0.0074456851151020595
-8.05606709219302,-0.4903242011989114,7.25,6.255203961988093,0.009720112436544425
-7.049999999999997,-0.5150000000000006,9.5,6.260622203690202,0.001300944205146401
-5.7146443026023235,-0.542496099600364,9.5,6.2652884809772456,0.004751825609399663
-4.049999999999999,-0.5650000000000013,9.5,6.274400301921439,0.00605914001051278
-2.1353556973976735,-0.570003900399638,9.5,6.287116991903656,0.0072380187038210446
-0.04999999999999982,-0.5449999999999999,9.5,6.303784660177077,0.008831386987932763
